Attachment URL,ID,Title,Description,Status,Address,Location,Zip Code,Date Created,Num Of Comments,Num Of Followers,Num Of Supporters,Latitude,Longitude,Rank,User
NA,915189,Noise Complaint,"ABC at 30 W 67th street is doing sidewalk work, including jack hammering in a residential neighborhood  that started at 9 am Saturday morning lasting until around 11 am.",submitted,"30 W 67th St, New York, NY 10023, USA","New York City, NY",10019,1474738461,0,1,1,40.773299,-73.979423,1,Anonymous
NA,915178,Illegal Parking,Three huge commercial trucks are parked between 94 and 214 street or moved to 93 avenue and 213 street. A lot of reports to no avail to 311.  The drivers moves truck around nine at night to different streets.  All trucks are parked consistently  for overnight parking.,submitted,"93-01 213th St, Queens Village, NY 11428, USA","New York City, NY",10019,1468535916,0,1,1,40.71917,-73.746339,1,Anonymous
NA,915175,Illegal Parking,"A white commercial truck parked overnight at 93 avenue and 213 street,Queens Village NY 11428.  This vehicles also park at 214 street at night and 92 avenue.  It is a frequently parked at these two streets. The truck belongs to the owner who resides at 94-08 214 street Queens Village NY 11428.",submitted,"93-01 213th St, Queens Village, NY 11428, USA","New York City, NY",10019,1468251173,0,1,1,40.71917,-73.746339,1,Anonymous
NA,915174,Broken Streetlight,Going from fourth Avenue making a right onto Atlantic only 4–5 cars at most can make the right based on space available on the short block there is only one right turn lane there should at least be 2 add the middle lane,submitted,15 4th Ave,"New York City, NY",11217,1468020714,0,1,1,40.684125,-73.978388,1,2
NA,915171,Health Hazard,"Rats seen scurrying around on the Broadway Malls between 101st Street, down to 96th Street. 
Please  eradicate  (kill) them.  They are very brazen!",submitted,2660 Broadway,"New York City, NY",10025,1467603090,0,1,1,40.797904,-73.969243,1,Anonymous
NA,915170,Blocked Sidewalk or Street,,submitted,"31-05 Newtown Ave, Long Island City, NY 11102, USA","New York City, NY",10019,1467251537,0,1,1,40.76758,-73.920424,1,Anonymous
NA,915165,Pothole,Right lane right tire between right lane and exit lane even though recently done this pothole remains and is deep one,submitted,Grand Central Pkwy E,"New York City, NY",11427,1464824074,0,1,1,40.725715,-73.7605,1,2
NA,915164,traffic light mis aimed   hard to see,The main traffic light eastbound has been turned in and it is not easy to see the signal until it's too late,submitted,2–36 Eastern Pkwy,"New York City, NY",11238,1464821433,0,1,1,40.672867,-73.967731,1,2
NA,915163,Noise Complaint,Turbine fan on the roof of 136 Atlantic has been making very loud squeaking noises for weeks. It goes on 24/7 and echoes in the courtyards and surrounding buildings driving all of us who live on the block on both Atlantic Ave and Pacific St insane from the noise. The owner has been unresponsive and there doesn't appear to be any Superintendent onsite to contact about it.,submitted,136 Atlantic Ave,"New York City, NY",11201,1464560652,0,1,1,40.690242,-73.995359,1,3
NA,915162,Hummock,Extra dropped Asphalt Hummock creates speed bump that causes continuos loud thumping when trucks (including DOT dump trucks from Hamilton Ave facility which probably originally dropped it) hit the bump. Causing neighboring buildings to shake and car alarms to go off. It was just dropped here Monday morning 5/22/16. Please kindly have this removed while still fresh. Booming Noise nuisance from empty Sanitation trucks and other trucks as well as safety concern as cars swerve to avoid it. Thank you.,submitted,129–183 17th St,"New York City, NY",11215,1464186548,0,1,1,40.66511,-73.993513,1,2
NA,915161,Blocked Sidewalk or Street,Camry black 4 dr NY plate T692406C on sidewalk in front of 6525 78th Ave at corner of Cypress Hills St,submitted,6523 78th Ave,"New York City, NY",11385,1464107901,0,1,1,40.697989,-73.888091,1,4
NA,915156,Blocked Sidewalk or Street,Camry black 4 dr NY plate T692406C on sidewalk in front of 6525 78th Ave at corner of Cypress Hills St,submitted,6523 78th Ave,"New York City, NY",11385,1462294404,0,1,1,40.697989,-73.888091,1,4
NA,915155,Blocked Sidewalk or Street,Camry black 4 dr NY plate T692406C on sidewalk in front of 6525 78th Ave at corner of Cypress Hills St,submitted,6523 78th Ave,"New York City, NY",11385,1462294394,0,1,1,40.697989,-73.888091,1,4
NA,915145,Dangerous Condition,Loose manhole cover. Makes loud noise every time a car drives over it.,submitted,124 Atlantic Ave,"New York City, NY",11201,1456500511,0,1,1,40.690455,-73.995578,1,3
NA,915139,Abandoned Car,A black BMW has been parked on the same spot for two months what appeared to be fake expired paper plates from out of state.  A lot of complaints about this vehicle but nothing is being done by authorities.,submitted,"94th Ave & 214th Pl, Queens Village, NY 11428, USA","New York City, NY",10019,1454503988,0,1,1,40.719735,-73.744578,1,Anonymous
NA,915137,Dangerous Condition,,submitted,"1524 Kings Hwy, Brooklyn, NY 11229, USA","New York City, NY",10019,1453768066,0,1,1,40.608558,-73.957432,1,Anonymous
NA,915136,Health Hazard,ice on sidewalk,submitted,"1524 Kings Hwy, Brooklyn, NY 11229, USA","New York City, NY",10019,1453768038,0,1,1,40.608558,-73.957432,1,Anonymous
NA,915135,Blocked Sidewalk or Street,"Sidewalk is completely unshoveled, creating hazardous walking conditions.",submitted,109-05 Queens Blvd,"New York City, NY",11375,1453743008,0,1,1,40.720904,-73.842096,1,5
NA,915134,Blocked Sidewalk or Street,"Sidewalk is completely unshoveled, creating hazardous walking conditions.",submitted,109-05 Queens Blvd,"New York City, NY",11375,1453743004,0,1,1,40.720904,-73.842096,1,5
NA,915133,Blocked Sidewalk or Street,"Sidewalk is completely unshoveled, creating hazardous walking conditions.",submitted,109-05 Queens Blvd,"New York City, NY",11375,1453742999,0,1,1,40.720904,-73.842096,1,5
NA,915129,Loud Neighbors in Apt 3J,"Screaming and Talking Loud,",submitted,"545 W 126th St, New York, NY 10027, USA","New York City, NY",10019,1452399971,0,1,1,40.81633,-73.956808,1,Anonymous
NA,915128,Dangerous Condition,"On 94 avenue and 214  street and place as well through Queens Village neighborhood cars or trucks are parked on city street with what appears to be fraudulent  paper plates.  At this time, there is a black BMW parked with expired Georgia paper plates.  Several complaints  to 311 to no avail.  The car is parked at 214 place and 94 avenue.These homeowners can parked their car in the driveway but refused.  This cars or trucks could be used to commit a terrorist  act.",submitted,"93-36 214th Pl, Queens Village, NY 11428, USA","New York City, NY",10019,1452367370,0,1,1,40.718635,-73.74439,1,Anonymous
NA,915124,Noise Complaint,,submitted,200 Haven Ave,"New York City, NY",10032,1451797502,0,2,1,40.846896,-73.942669,2,Anonymous
NA,915117,Blocked Sidewalk or Street,A couple homeowners are placing personal property on street to reserve their own parking space. The street is 93 avenue and 214 street Queens Village New York 11428.,submitted,"93-49 214th St, Queens Village, NY 11428, USA","New York City, NY",10019,1450027907,0,1,1,40.718147,-73.744788,1,Anonymous
NA,915116,Dangerous Condition,On my block  there is a huge red Volvo truck parked on the 94 avenue and 214 street Queens Village for more than two weeks.  why is this truck still parked on city street without valid car registration  and license plates?,submitted,"93-49 214th St, Queens Village, NY 11428, USA","New York City, NY",10019,1450027704,0,1,1,40.718147,-73.744788,1,Anonymous
NA,915115,Dangerous Condition,"A big red Volvo truck with one fake plate is parked on 94 avenue and 214 street, Queens Village, New York 11428.",submitted,"93-49 214th St, Queens Village, NY 11428, USA","New York City, NY",10019,1450027513,0,1,1,40.718147,-73.744788,1,Anonymous
NA,915113,Noise Complaint,"I've issued the same problem already. However, even we told them to turn down the music 4 times they keep playing music until they close.
And tonight, they were so upset when I came to them to complain. They even didn't try to turn it down at least at that moment. 
Could you please please do something to them. 
We emailed you, called you, but still nothing change.
Thank you for your help.",submitted,"42-12 Broadway, Astoria, NY 11103, USA","New York City, NY",11103,1449639816,0,1,1,40.757827,-73.917141,1,6
NA,915112,Dangerous Condition,There is blue Lexus with expired or improper parked at 93 avenue and 214 street.  A lot of cars in this area with expired out of states plate.  This cars maybe used by sleeper cells to commit a terrorist act.  A lot of complaints to 311 to no avail.  Homeowners have their driveways to put their cars,submitted,"93-01 214th St, Queens Village, NY 11428, USA","New York City, NY",10019,1449447013,0,1,1,40.719403,-73.745503,1,Anonymous
NA,915108,Noise Complaint,"car alarm has been going off all night long. black Elantra, PA license plate JVX 749",submitted,"30 W 67th St, New York, NY 10023, USA","New York City, NY",10019,1447335022,0,1,1,40.773459,-73.979452,1,Anonymous
NA,915107,Dangerous Condition,Tenants that live in illegal coverted basement are stripping cars inside six-foot fence.  Occupants in this house b has some illegal activities n with cars,submitted,"93-02 214th St, Queens Village, NY 11428, USA","New York City, NY",10019,1447171302,0,1,1,40.718596,-73.745794,1,Anonymous
NA,915106,Dangerous Condition,two cars with for sale signs with illegal and expired Florida plates.,submitted,"217th St & 93rd Ave, Queens Village, NY 11428, USA","New York City, NY",10019,1446403334,0,1,1,40.721075,-73.740224,1,Anonymous
NA,915105,Noise Complaint,construction being done in a residential home,submitted,"214th St & 92nd Ave, Queens Village, NY 11428, USA","New York City, NY",10019,1446403078,0,1,1,40.720933,-73.746337,1,Anonymous
NA,915104,Noise Complaint,,submitted,"214th St & 92nd Ave, Queens Village, NY 11428, USA","New York City, NY",10019,1446402913,0,1,1,40.720933,-73.746337,1,Anonymous
NA,915101,Illegal Parking blocking crosswalk beyond stop sign,by newtown high school.  blocking street crossing half the car is beyond the stop sign. this is by newtown high school on 9th Street and 50th avenue,submitted,"50-1-50-9 90th St, Elmhurst, NY 11373, USA","New York City, NY",10019,1445518110,0,1,1,40.740261,-73.874521,1,Anonymous
NA,915100,Blocked Sidewalk or Street,orange traffic cones blocking city street,submitted,"215-1 92nd Ave, Queens Village, NY 11428, USA","New York City, NY",10019,1445363200,0,1,1,40.721452,-73.744308,1,Anonymous
NA,915099,Damaged Tree,"A major branch has been broken off almost completely, but is still connected to the trunk.",submitted,2307–2323 45th Ave,"New York City, NY",11101,1445282755,0,1,1,40.746885,-73.94497,1,7
NA,915098,Illegal Parking- blocking my driveway,blocked driveway,submitted,"31-07 Newtown Ave, Long Island City, NY 11102, USA","New York City, NY",10019,1445142339,0,2,1,40.76751,-73.920382,2,Anonymous
NA,915096,Blocked Sidewalk or Street,A couple of abandon vehicles without license plates blocking city street at 94 avenue and 214 street.  These vehicles I assumed belong to homeowner at 94-39 214 street Queens village New York 11428 which also ha s two vehicles without license p l ates parked on the lawn.,submitted,"214th St & 94th Ave, Queens Village, NY 11428, USA","New York City, NY",10019,1444664585,0,1,1,40.718039,-73.744792,1,Anonymous
NA,915095,Dangerous Condition,I like to report that there are at least four cars on 94 avenue and 214 street without license plates.    There are two cars without plates on the front lawn of 94-39 214 street  Queens Village New York 11428.  This is a common issue on this block,submitted,"214th St & 94th Ave, Queens Village, NY 11428, USA","New York City, NY",10019,1444664229,0,1,1,40.718039,-73.744792,1,Anonymous
NA,915059,Noise Complaint,loud music  and big party in the backyard,submitted,"93-26 213th St, Queens Village, NY 11428, USA","New York City, NY",10019,1444531871,0,1,1,40.71848,-73.746044,1,Anonymous
NA,915058,Noise Complaint,Large crowd with large speakers,submitted,"93-26 213th St, Queens Village, NY 11428, USA","New York City, NY",10019,1444531209,0,1,1,40.71848,-73.746044,1,Anonymous
NA,915057,Noise Complaint,,submitted,"93-24-93-28 213th St, Queens Village, NY 11428, USA","New York City, NY",10019,1444531084,0,1,1,40.71848,-73.746044,1,Anonymous
NA,915054,Blocked Sidewalk or Street,personal property blocking city street at 9,submitted,"92-02 215th St, Queens Village, NY 11428, USA","New York City, NY",10019,1444490786,0,1,1,40.719216,-73.74642,1,Anonymous
NA,915053,Damaged Tree,93 avenue and 213 street branch from tree fall on street  queens village new york 11428,submitted,"91-27 214th St, Queens Village, NY 11428, USA","New York City, NY",10019,1444490495,0,1,1,40.72097,-73.746336,1,Anonymous
NA,915050,Dangerous Condition,A assortment of cars with expired Florida plates on 214 street and 92 and 91 avenue.  The cars belong to tenants living in illegal covered cellar of house 91-27 214 street. queens village new york 11428,submitted,"91-27 214th St, Queens Village, NY 11428, USA","New York City, NY",10019,1444490255,0,1,1,40.72097,-73.746336,1,Anonymous
NA,915028,Noise Complaint,"Every Friday and Saturday night, they play the music extremely loudly with strong woofer UNTIL 4AM. Even I live in next building, it comes up. It is really annoying and I can't sleep! Please tell them to stop playing the music this loud after 11 or 12pm.",submitted,"42-10 Broadway, Astoria, NY 11103, USA","New York City, NY",11103,1444458172,0,1,1,40.757856,-73.917204,1,6
NA,913790,Complaint,large party with large speakers in backyard,submitted,"93-02 213th St, Queens Village, NY 11428, USA","New York City, NY",10019,1443298654,0,1,1,40.71901,-73.746598,1,Anonymous
NA,911286,Noise Complaint,,submitted,"1255 Hancock St, Brooklyn, NY 11221, USA","New York City, NY",10019,1442203086,0,1,1,40.692922,-73.910845,1,Anonymous
NA,910506,Illegal Parking,Vehicle with commercial plates is parked on he street for days including nights.,submitted,2780 Wilson Ave,"New York City, NY",10469,1441857183,0,1,1,40.866854,-73.849073,1,8
NA,910188,Dangerous Condition,,submitted,"West Drive, New York, NY 10019, USA","New York City, NY",10019,1441742907,0,1,1,40.767307,-73.978935,1,Anonymous
NA,907046,Graffiti,roll down. gray,submitted,"503 West 22nd Street, New York, NY 10011, USA","New York City, NY",10019,1440727230,0,1,1,40.747259,-74.004916,1,Anonymous
NA,906578,Litter,by the tree next to the exit only back section of the 6 train; the same corner as the construction,submitted,"923 Southern Boulevard, Bronx, NY 10459, USA","New York City, NY",10019,1440687877,0,1,1,40.820474,-73.892275,1,9
NA,904923,white commercial van Illegal Parking,this commercial van constantly parks overnight on public street. in front of 90-22 50th avenue right now.,submitted,"90 50th Avenue, Elmhurst, NY 11373, USA","New York City, NY",10019,1440462567,0,1,1,40.740364,-73.873434,1,Anonymous
NA,904921,white commercial van Illegal Parking,this van constantly parks overnight on public street,submitted,"90 50th Avenue, Elmhurst, NY 11373, USA","New York City, NY",10019,1440462423,0,1,1,40.740364,-73.873434,1,Anonymous
NA,904251,Illegal Parking,Vehicle with commercial plates is parked on he street for days including nights.,submitted,2780 Wilson Ave,"New York City, NY",10469,1440422287,0,1,1,40.866854,-73.849073,1,8
NA,904250,Illegal Parking,Vehicle with commercial plates is parked on he street for days including nights.,submitted,2780 Wilson Ave,"New York City, NY",10469,1440422281,0,1,1,40.866854,-73.849073,1,8
NA,904154,Noise Complaint,every weekend this noise!!! can someone shut this down?,submitted,"998 Rogers Avenue, Brooklyn, NY 11226, USA","New York City, NY",10019,1440379697,0,1,1,40.645739,-73.952114,1,Anonymous
NA,904150,Noise Complaint,,submitted,"998 Rogers Avenue, Brooklyn, NY 11226, USA","New York City, NY",10019,1440378362,0,1,1,40.645747,-73.95206,1,Anonymous
NA,902490,Noise Complaint,,submitted,"1049 Rogers Avenue, Brooklyn, NY 11226, USA","New York City, NY",10019,1440036402,0,1,1,40.644501,-73.951676,1,Anonymous
NA,902489,Noise Complaint,loud music from group of people,submitted,"1049 Rogers Avenue, Brooklyn, NY 11226, USA","New York City, NY",10019,1440036332,0,1,1,40.644501,-73.951676,1,Anonymous
NA,902488,Noise Complaint,loud music from group of people,submitted,"1049 Rogers Avenue, Brooklyn, NY 11226, USA","New York City, NY",10019,1440036327,0,1,1,40.644501,-73.951676,1,Anonymous
NA,900078,"Pothole, Outcrop","road condition (outcrop) is a trip and safety hazard, which must be repaired immediately.",submitted,"140-11-140-13 Cherry Avenue, Flushing, NY 11355, USA","New York City, NY",10019,1439686753,0,1,1,40.754168,-73.822383,1,10
NA,900065,Sidewalk Repair,"Vandalism on sidewalk indicating possible hate crime against Asian Americans. The exact location of the vandalism is the curb sidewalk, next to the tree, outside 141-18 Cherry Ave, Flushing NY 11355.",submitted,"141-10-141-14 Cherry Avenue, Flushing, NY 11355, USA","New York City, NY",10019,1439679550,0,1,1,40.754861,-73.821256,1,10
NA,898693,Broken Streetlight,ALL streets lights are out on both sides of morningside drive between west 110th street and west 113th street.,submitted,4–22 Morningside Dr,"New York City, NY",10025,1439477724,0,1,1,40.803248,-73.960577,1,11
NA,898548,Pothole,Huge deep pot hole on intersection.,submitted,340 Marion Ave,"New York City, NY",10458,1439456533,0,1,1,40.867227,-73.886924,1,Anonymous
NA,898509,Noise Complaint,"The tenant in apt 1A blasts music all hours. Landlord has been constantly notified but directs to call police. He can't do anything about issue.  Derelicts sleep, hang in halls too.",submitted,"309 West 114th Street, New York, NY 10026, USA","New York City, NY",10019,1439428523,0,1,1,40.803534,-73.957003,1,Anonymous
NA,895758,Dangerous Condition,Large beehive and bees inside hedges. Bees have stung people at 2712 Sexton Place 10469. Please remove.,submitted,2746–2868 Wilson Ave,"New York City, NY",10469,1439148679,0,1,1,40.867353,-73.848896,1,8
NA,895630,Noise Complaint,cars illegally parked playing very loud music,submitted,"1047 Avenue Saint John, Bronx, NY 10455, USA","New York City, NY",10019,1439095686,0,1,1,40.812517,-73.901175,1,9
NA,895628,Noise Complaint,,submitted,"1047 Avenue Saint John, Bronx, NY 10455, USA","New York City, NY",10019,1439095639,0,1,1,40.812517,-73.901175,1,9
NA,895627,Noise Complaint,,submitted,"1047 Avenue Saint John, Bronx, NY 10455, USA","New York City, NY",10019,1439095394,0,1,1,40.812517,-73.901175,1,9
NA,895624,Noise Complaint,"multiple cars double parked playing loud music, people drinking alcohol in public",submitted,"1047 Avenue Saint John, Bronx, NY 10455, USA","New York City, NY",10019,1439092980,0,1,1,40.812506,-73.901175,1,9
NA,895618,Noise Complaint,,submitted,"93rd Avenue & 213th Street, Queens Village, NY 11428, USA","New York City, NY",10019,1439088957,0,1,1,40.719216,-73.74642,1,Anonymous
NA,894764,Illegal Parking,commercial vehicle parked overnight on 50th avenue and 91 place. signage on van reads  Li Xin E. W trading Inc.  144-51 38 ave apt b flushing ny 11354,submitted,"91 50th Avenue, Elmhurst, NY 11373, USA","New York City, NY",10019,1438920806,0,1,1,40.740456,-73.87258,1,Anonymous
NA,893786,Dangerous Condition,The tree on the sidewalk directly in front of my house has been leaning more and more in the direction of my house since I took ownership of the home in 2008. The tree is HUGE and my children's bedrooms are located in the front of the house facing the street and tree. In the event that tree comes down it would destroy my home and the thought of potential loss of life is what has prompted me to write this complaint. During storms and or windy days/nights we spend time in the basement where we feel safe. We should not have to feel afraid in our own home. I would love to see the tree taken down and others planted in its place. I love trees and the character they add to the block but feel this tree in particular poses a threat to not only my home but the people living in it.,submitted,3208 163rd St,"New York City, NY",11358,1438799816,0,1,1,40.768974,-73.802116,1,12
NA,893426,Litter,A lot of dead fishes were put in nearby households for garbage collection.  It is a Japanese whole sell store.,submitted,136-27 35th Ave,"New York City, NY",11354,1438783902,0,1,1,40.765349,-73.829791,1,13
NA,893425,Litter,A lot of dead fishes were put in nearby households for garbage collection.  It is a Japanese whole sell store.,submitted,136-27 35th Ave,"New York City, NY",11354,1438783899,0,1,1,40.765349,-73.829791,1,13
NA,893424,Litter,A lot of dead fishes were put in nearby households for garbage collection.  It is a Japanese whole sell store.,submitted,136-27 35th Ave,"New York City, NY",11354,1438783896,0,1,1,40.765349,-73.829791,1,13
NA,893422,Litter,A lot of dead fishes were put in nearby households for garbage collection.  It is a Japanese whole sell store.,submitted,136-27 35th Ave,"New York City, NY",11354,1438783893,0,1,1,40.765349,-73.829791,1,13
NA,891302,Noise Complaint,Good evening. Please do something about this party that this house has with loud base speakers and usage of a microphone they have this outside in there yard. my grandmother and son can't sleep. this has been going on since 2:15pm this afternoon.  ThankU for your help.,submitted,8119 kneeland,"New York City, NY",10019,1438485593,0,1,1,40.733671,-73.882619,1,Anonymous
NA,887398,Noise Complaint,,submitted,"1015 Rogers Avenue, Brooklyn, NY 11226, USA","New York City, NY",10019,1437963670,0,1,1,40.645351,-73.951681,1,Anonymous
NA,884662,"no proper street light,",this section is not properly lit nor the corner of Rogers avenue. the church across does not have lights at night either! needs a light installed!,submitted,"2706 Beverley Road, Brooklyn, NY 11226, USA","New York City, NY",10019,1437534128,0,1,1,40.644796,-73.951529,1,Anonymous
NA,884661,Sidewalk Repair,,submitted,"2706 Beverley Road, Brooklyn, NY 11226, USA","New York City, NY",10019,1437533853,0,1,1,40.644796,-73.951529,1,Anonymous
NA,882616,Noise Complaint,loud music with huge speakers,submitted,"93-29 213th Street, Queens Village, NY 11428, USA","New York City, NY",10019,1437326042,0,1,1,40.718456,-73.745718,1,Anonymous
NA,878876,Noise Complaint,loud music and talking,submitted,"1047 Rogers Avenue, Brooklyn, NY 11226, USA","New York City, NY",10019,1436841194,0,1,1,40.644563,-73.951498,1,Anonymous
NA,878875,Noise Complaint,cars blasting music all afternoon,submitted,"1049 Rogers Avenue, Brooklyn, NY 11226, USA","New York City, NY",10019,1436841037,0,1,1,40.644492,-73.95149,1,Anonymous
NA,878032,abandoned white vanAbandoned Car,"No registration
no inspection 
no plates

parked in front of 91-24 50th avenue elmhurst ny 11373",submitted,"91 50th Avenue, Elmhurst, NY 11373, USA","New York City, NY",10019,1436803754,0,2,1,40.740459,-73.872614,2,Anonymous
NA,877330,Noise Complaint,,submitted,"1043 Rogers Avenue, Brooklyn, NY 11226, USA","New York City, NY",10019,1436671875,0,1,1,40.644645,-73.951643,1,Anonymous
NA,875063,Dangerous Condition,"water main leak
there is a patch in the street
water is leaking out
not a swear.  most likely water main leaking water",submitted,"57-41 64th Street, Flushing, NY 11378, USA","New York City, NY",10019,1436389174,0,1,1,40.721575,-73.901104,1,Anonymous
NA,873011,Potholes on FDR 135th St Exit,"The 135th street exit, on the northbound FDR Drive has SO many potholes. Please smooth out this ramp and road.",submitted,Park Ave,"New York City, NY",10037,1436268663,0,1,1,40.811627,-73.934909,1,14
NA,871284,Noise Complaint,who needs to worry about Isis when you have local neighbour hood terrorism!! LOUD MUSIC is terrorism!!!,submitted,"1015 Rogers Avenue, Brooklyn, NY 11226, USA","New York City, NY",10019,1436059225,0,1,1,40.645448,-73.951752,1,Anonymous
NA,871141,Health Hazard,have dirty brown water coming into home and as every year DEP needs to come and open the fire hydrant at this dead end street to run and clean out the dirt from the pipes in street.,submitted,"40-04 208th Street, Flushing, NY 11361, USA","New York City, NY",10019,1435983870,0,1,1,40.762393,-73.777312,1,Anonymous
NA,871140,Parks Maintenance,the islands in middle of the street are not kept cleaned and maintained year after year. it takes long time before things are cleaned. I live here and you too would want your home area looking good. we ask for nothing more than please keeping it looking maintain and cleaned out. it would be great as with other neighborhoods having more beautiful islands and trees and flowers with various colors instead of just bushes.,submitted,"2081 42nd Avenue, Bayside, NY 11361, USA","New York City, NY",10019,1435983680,0,1,1,40.761526,-73.776629,1,Anonymous
NA,871136,Dangerous Condition,cars always speed up very fast right after passing the stop sign. once they do that and with the city's middle island and not having clear visual of cars coming due to the bushes obstructing the view.... those two conditions cause extreme and potentially deadly hazards. for long time we either wanted parks to clear the bottom of the bushes to view cars coming fast or create a speed bump in this main street.,submitted,"207-07 42nd Avenue, Flushing, NY 11361, USA","New York City, NY",10019,1435982892,0,1,1,40.761332,-73.777516,1,Anonymous
NA,870985,Illegal Parking,"illegal parking under trestle
dangerous condition
truck is always here
pleade ticket or tow away",submitted,"50-47 71st Street, Woodside, NY 11377, USA","New York City, NY",10019,1435938169,0,1,1,40.735826,-73.893301,1,Anonymous
NA,867717,on perimeter fencing. 91st place and 50th avenue Graffiti,,submitted,No Address Given,"New York City, NY",10019,1435612456,0,1,1,40.740685,-73.872582,1,Anonymous
NA,867629,Illegal Parking,this truck parks here daily and it is a dangerous condition under train trestle. sign says no parking. truck is here 24 hours a day all week,submitted,"75-0 51st Avenue, Elmhurst, NY 11373, USA","New York City, NY",10019,1435607535,0,1,1,40.736265,-73.889294,1,Anonymous
NA,867622,Illegal Parking,,submitted,"75-0 51st Avenue, Elmhurst, NY 11373, USA","New York City, NY",10019,1435607369,0,1,1,40.736265,-73.889294,1,Anonymous
NA,866729,Noise Complaint,"There is a very loud party in the backyard of one the apparent that buildings on west 88th street on the south side, between Amsterdam and Columbus, closer to Columbus.  The music is extremely loud and the people are yelling loudly such that they can be heard all the way down the block.",submitted,136 W 88th St,"New York City, NY",10024,1435537787,0,1,1,40.788037,-73.972443,1,15
NA,858835,Illegal Parking,"white box truck, illegal overnight, chronic problem",submitted,"172-198 67th Street, Brooklyn, NY 11220, USA","New York City, NY",10019,1434598989,0,1,1,40.638827,-74.027829,1,Anonymous
NA,855325,Graffiti,,submitted,"1748 2nd Avenue, New York, NY 10128, USA","New York City, NY",10019,1434165718,0,1,1,40.7811,-73.949109,1,Anonymous
NA,855224,Pothole,,submitted,6075 59th Ave,"New York City, NY",11378,1434145441,0,1,1,40.719206,-73.904001,1,13
NA,852469,Damaged Tree,tree on 175th street at corner of 144 drive needs to be pruned. dead branches at head height over sidewalk are dangerous to pedestrians. also low branches over street hazardous to cars.,submitted,"144-43 175th Street, Jamaica, NY 11434, USA","New York City, NY",10019,1433944718,0,1,1,40.666062,-73.774153,1,Anonymous
NA,849850,Noise Complaint,,submitted,"976 Rogers Avenue, Brooklyn, NY 11226, USA","New York City, NY",10019,1433654685,0,1,1,40.646289,-73.952206,1,Anonymous
NA,849849,Noise Complaint,shut it down!!! loud music! its 1am!  these losers may not have jobs or be able to pay the ten but they can obviously violate other peoples rights!!,submitted,"976 Rogers Avenue, Brooklyn, NY 11226, USA","New York City, NY",10019,1433653954,0,1,1,40.646303,-73.952172,1,Anonymous
